Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES,Brands
483,Boutique Costa Mesa,TRUE,"3333 Bristol Street, Suite 2634",South Coast Plaza,92626,Costa Mesa,,United States of America,+1 657 205 4555,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/costa-mesa/a-lange-sohne-boutique-costa-mesa,,,,,,,,,,,,,33.6906700,-117.8879520,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
485,Boutique Miami,TRUE,140 NE 39th Street,Suite 107,33137,Miami,,United States of America,+1 305 908 4420,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/miami/a-lange-sohne-boutique-miami,,,,,,,,,,,,,25.8120210,-80.1921160,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
917,Anshindo Horloger La Paix Paris,TRUE,"1, rue de la Paix",,75002,Paris,Paris,France,+33170611390,,https://www.alange-soehne.com/us-en/boutiques/europe/france/paris/a-lange-sohne-boutique-paris,,,,,,,,,,,,,48.8685708,2.3302606,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, ROLEX"
6984,Rolex Boutique Lexia Ginza Namikidori,TRUE,"Giza Namiki-Dori, 6-7-16 Namiki street, Ginza Chuo-ku",Chuo-ku,104-0061,Tokyo,Tokyo,Japan,+8103-3535-9227,omega.ginza.mitsukoshi@jp.swatchgroup.com,https://store/storedetails/O1803702,,,,,,,,,,,,,35.6707564,139.7626657,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA, ROLEX"
465,"Boutique Hongkong, Ocean Terminal",TRUE,"Shop OT 209, Level 2, Harbour City",Tsim Sha Tsui,,Hong Kong,,"Hong Kong SAR, China",+852 2312 2085,,https://www.alange-soehne.com/us-en/boutiques/asia/hong-kong-sar-china/hong-kong/a-lange-sohne-boutique-hong-kong-ocean-terminal,,,,,,,,,,,,,22.2951100,114.1700871,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
6389,Blancpain Boutique ION Singapore,TRUE,"2 Orchard Turn, ION Orchard #03-03",#02-04/05 Ion Orchard,238801,Singapore,,Singapore,+65 6225 2393,omegambs@swatchgroup.com.sg,https://www.omegawatches.com/en-us/store/storedetails/6603,,,,,,,,,,,,,1.3039538,103.8314425,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
470,Boutique Shanghai WNR,TRUE,1155 West Nanjing Road,,200041,Shanghai,,China,+86 21 625 68609,,https://www.alange-soehne.com/us-en/boutiques/asia/china/shanghai/a-lange-sohne-boutique-shanghai-wnr,,,,,,,,,,,,,31.2285230,121.4573340,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
5041,Blancpain Boutique Zürich,TRUE,Bahnhofstrasse 26 (corner Poststrasse),Paradeplatz,8001,Zurich,,Switzerland,+41 44 220 11 80,boutique.zuerich@blancpain.com,https://www.blancpain.com/en-us/points-sale/blancpain-boutique-zurich,,,,,,,,,,,,,47.3697600,8.5395020,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN"
507,Boutique Shenzhen,TRUE,South Baoan Road,"S145A, Building 2, MixC , No.1881",518001,Shenzhen,,China,+86 755-25128537,,https://www.alange-soehne.com/us-en/boutiques/asia/china/shenzhen/a-lange-sohne-boutique-shenzhen,,,,,,,,,,,,,22.5456962,114.1104035,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
5370538,GALLERIA DEPT. STORE MAIN EAST,TRUE,"Apgujeongro 407, Galleria Department Store, Kangnamgu",Gangnam-Gu,06009,Seoul,,Republic of Korea,+82 64 793 3131,,https://www.omegawatches.com/en-us/store/storedetails/9039,,,,,,,,,,,,,37.5279675,127.0416636,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
10129758,Audemars Piguet Boutique Dubai Mall,TRUE,"The Dubai Mall, Ground Floor",Financial Center Rd,,Dubai,,United Arab Emirates,+971 4 325 3366,boutique.dubaimall@audemarspiguet.com,https://www.alange-soehne.com/us-en/boutiques/asia/united-arab-emirates/dubai/a-lange-sohne-boutique-dubai-the-dubai-mall,,,,,,,,,,,,,25.1987592,55.2787153,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
73200,Blancpain Boutique Dubai Mall of Emirates,TRUE,Mall of the Emirates Al Barsha 1,Level 1,,Dubai,,United Arab Emirates,+971 43413121,rivoli.ibn@rivoligroup.com,https://www.omegawatches.com/en-us/store/storedetails/73166,,,,,,,,,,,,,25.1182454,55.2006811,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
459,Boutique New York,TRUE,709 Madison Avenue,,10065,New York,,United States of America,+1 646 828 3150,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/new-york/a-lange-sohne-boutique-new-york,,,,,,,,,,,,,40.7658362,-73.9695087,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
harrods-fine-watch-room-london,"Boutique London, Harrods",TRUE,87-135 Brompton Road,Knightsbridge,SW1X 7XL,London,London,United Kingdom,020 7730 1234,,https://harrods-86/rswi_13453-london-unitedkingdom,,,,,,,,,,,,,51.4994842,-0.1636457,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, ROLEX"
5541,Thailand - Bangkok - Siam Paragon,TRUE,"Siam ParagonMain LevelShop M-38, North wing991 Rama 1 RoadPathumwan","Unit M51 Main Floor, Siam Paragon",10330,Bangkok,,Thailand,+6620000245,omegaiconsiam.bangkok@th.swatchgroup.com,https://store/storedetails/O1820654,,,,,,,,,,,,,13.7468000,100.5350000,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
2407,Boutique Milan,TRUE,Via Montenapoleone 9,,20121,Milano,,Italy,+39 06 659556079,boutiqueomegafiumicino@it.swatchgroup.com,https://www.omegawatches.com/en-us/store/storedetails/8280524,,,,,,,,,,,,,45.4682860,9.1950460,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
450,Boutique Dresden,TRUE,Neumarkt 15,,01067,Dresden,,Germany,+49 351 48185050,,https://www.alange-soehne.com/us-en/boutiques/europe/germany/dresden/a-lange-sohne-boutique-dresden,,,,,,,,,,,,,51.0515580,13.7398450,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
6185,Watches of Switzerland Rolex Boutique,TRUE,"Unit RU1017 Departure Lounge Terminal 2, Heathrow Airport",,W1J 0QB,Hounslow,London,United Kingdom,+44 020 7590 1860,,https://www.omegawatches.com/en-us/store/storedetails/2006116,,,,,,,,,,,,,51.5096312,-0.1409197,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA, ROLEX"
10038458,Audemars Piguet Boutique Doha Vendôme,TRUE,Place Vendôme Mall,Gate 3,P.O. Box 4505,Lusail,,Qatar,+974 4416 6444,ap.pvm@alibinali.com,https://www.alange-soehne.com/us-en/boutiques/asia/qatar/lusail/a-lange-sohne-boutique-doha,,,,,,,,,,,,,25.4028926,51.5196045,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
537,Boutique Houston,TRUE,Zadok Jewelers,"1801 Post Oak Boulevard, Suite 100",77056,Houston,,United States of America,+1 713 960 8950,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/houston/a-lange-sohne-boutique-houston,,,,,,,,,,,,,29.7470550,-95.4607420,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
540,Boutique Berlin,TRUE,Kurfürstendamm 52,,10707,Berlin,,Germany,+49 30 221525150,,https://www.alange-soehne.com/us-en/boutiques/europe/germany/berlin/a-lange-sohne-boutique-berlin,,,,,,,,,,,,,52.5014919,13.3162612,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
543,Salon Geneva,TRUE,"1, Place de Longemalle",,1204,Novosibirsk,,Switzerland,+41 22 310 3424,epohawatch@bk.ru,https://www.alange-soehne.com/us-en/boutiques/europe/switzerland/geneva/a-lange-sohne-salon-geneva,,,,,,,,,,,,,46.2033306,6.1504296,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
545,Boutique Osaka Shinsaibashi,TRUE,4-1-3 W Osaka 1F,"Minami Semba, Chuo-ku",542-0081,Osaka (Shinsaibashi),,Japan,+81-6-6245-4281,,https://www.alange-soehne.com/us-en/boutiques/asia/japan/osaka-shinsaibashi/a-lange-sohne-boutique-osaka-shinsaibashi,,,,,,,,,,,,,34.6779500,135.5000470,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
564,Audemars Piguet Boutique Frankfurt,TRUE,Goethestraße 2,,60313,Frankfurt am Main,,Germany,+49 69 2222 94830,boutiqueap.frankfurt@audemarspiguet.com,https://www.alange-soehne.com/us-en/boutiques/europe/germany/frankfurt-am-main/a-lange-sohne-boutique-frankfurt,,,,,,,,,,,,,50.1137610,8.6759610,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
10076360,Audemars Piguet Boutique Frankfurt,TRUE,Goethestraße 9,Goethestraße 9,60313,Frankfurt,,DE,+49 69 244371560,boutiqueap.frankfurt@audemarspiguet.com,,,,,,,,,,,,,,50.1137164,8.6750358,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,AUDEMARS PIGUET
801,Boutique Boston,TRUE,10 Newbury Street,,02116,Boston,,United States of America,+1 617 279 4503,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/boston/a-lange-sohne-boutique-boston,,,,,,,,,,,,,42.3522190,-71.0741780,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
8061,"Boutique Chengdu, SKP",TRUE,"D2137, 2F, North Hall, Chengdu SKP, No.2001, Tianfu Avenue North, High-tech Zone",,610051,Chengdu,Sichuan,China,+86 28 65042088,boutique.taikooli.cd.cn@omegawatches.com,https://www.omegawatches.com/en-us/store/storedetails/8689,,,,,,,,,,,,,30.5722690,104.0665410,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
9700563,Salon San Francisco,TRUE,140 Geary St.,3rd Floor,94108,San Francisco,California,United States of America,+1 619 260 1120,omega.fashionvalley@swatchgroup.com,https://www.omegawatches.com/en-us/store/storedetails/7338,,,,,,,,,,,,,37.7875990,-122.4052940,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
2000416,Hangzhou Tower Shopping City,TRUE,"1 / F Block D, Hangzhou Tower, No. 258 Huangcheng North Road, Gongshu District",,310003,Hangzhou,Zhejiang,China,+86(0310)3036122,dailirui118@163.com,https://www.omegawatches.com/en-us/store/storedetails/2001142,,,,,,,,,,,,,30.2718830,120.1607810,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
10129747,Audemars Piguet Boutique Aspen,TRUE,535 E Hyman Ave Space 106,535 E Hyman Ave Space 106,81611,Aspen,,United States of America,+1 970-710-4960,boutiqueap.aspen@audemarspiguet.com,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/aspen/a-lange-sohne-boutique-aspen,,,,,,,,,,,,,39.1883755,-106.8177893,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
555,Audemars Piguet Palazzo Las Vegas,TRUE,"The Palazzo Hotel 3325 Las Vegas blvd.,",Bellusso Jewelers at the Palazzo Resort,89109,Las Vegas,,United States of America,+1 702 650 2988,leor@leorbeverlyhills.com,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/las-vegas/a-lange-sohne-boutique-las-vegas,,,,,,,,,,,,,36.1234600,-115.1682890,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
2087842,Rolex Boutique Matsuzakaya Nagoya,TRUE,GENTA the Watch North 5F 3-16-1 Sakae Naka-ku Nagoya-shi AICHI,"3-16-1,Sakae, Naka-ku",460-8430,Nagoya-shi,Aichi,Japan,+1876 952 6718,,https://www.omegawatches.com/en-us/store/storedetails/1017740002,,,,,,,,,,,,,35.1653548,136.9079203,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA, ROLEX"
1642,Boutique Chicago,TRUE,435 North Michigan Ave.,Suite #108A,60611,Chicago,,United States of America,+1-312-204-8183,,https://www.alange-soehne.com/us-en/boutiques/northern-america/united-states-of-america/chicago/a-lange-sohne-boutique-chicago,,,,,,,,,,,,,41.8905370,-87.6240880,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
651,Fukuoka Mitsukoshi,TRUE,2-1-1 Tenjin,"Chuo-ku, Fukuoka-shi",810-8544,Fukuoka,,Japan,+81(0)927243111,,,,,,,,,,,,,,,33.5894408,130.3992184,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
